תיק כפול,תיק מקורי,מצב תיק מקורי בנמלה,כתובת,פסק דין?,בג"ץ?,דחיה על הסף?,פעולה שיש לבצע
5700/2014,5697/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\970\056\v06&fileName=14056970_v06.txt&type=2,כן,,,הוספה לנמלה
6355/2017,5478/2017,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\17\780\054\v11&fileName=17054780.V11&type=2,כן,,,הוספה לנמלה
32/2012,9696/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\960\096\t08&fileName=11096960_t08.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
8796/2015,2370/2016,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\700\023\k03&fileName=16023700_k03.txt&type=2,כן,כן,כן,העתקת  קידוד מהתיק המקורי
9810/2016,9922/2016,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\460\049\t28&fileName=16049460.T28&type=2,כן,,,הוספה לנמלה
9814/2016,9922/2016,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\460\049\t28&fileName=16049460.T28&type=2,כן,,,הוספה לנמלה
9812/2016,9922/2016,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\460\049\t28&fileName=16049460.T28&type=2,כן,,,הוספה לנמלה
9842/2016,9922/2016,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\460\049\t28&fileName=16049460.T28&type=2,כן,,,הוספה לנמלה
8249/2016,9922/2016,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\460\049\t28&fileName=16049460.T28&type=2,כן,,,הוספה לנמלה
9843/2016,9922/2016,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\460\049\t28&fileName=16049460.T28&type=2,כן,,,הוספה לנמלה
6952/2016,9922/2016,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\460\049\t28&fileName=16049460.T28&type=2,כן,,,הוספה לנמלה
982/2017,9922/2016,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\460\049\t28&fileName=16049460.T28&type=2,כן,,,הוספה לנמלה
4946/2016,9922/2016,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\460\049\t28&fileName=16049460.T28&type=2,כן,,,הוספה לנמלה
6037/2014,4790/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\900\047\m10&fileName=14047900_m10.txt&type=2,כן,כן,,הוספה לנמלה
5080/2014,4790/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\900\047\m10&fileName=14047900_m10.txt&type=2,כן,כן,,הוספה לנמלה
6619/2013,5313/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\130\053\h12&fileName=13053130_h12.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
5318/2014,7033/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\330\070\c08&fileName=13070330_c08.txt&type=2,כן,,,הוספה לנמלה
4635/2013,4631/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\310\046\w02&fileName=13046310_w02.txt&type=2,כן,,,הוספה לנמלה
4659/2013,4631/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\310\046\w02&fileName=13046310_w02.txt&type=2,כן,,,הוספה לנמלה
1215/2017,2039/2017,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\17\150\012\z07&fileName=17012150.Z07&type=2,,,,העתקת  קידוד מהתיק המקורי
5917/2014,6923/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\230\069\k22&fileName=13069230_k22.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
280/2010,109/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\090\001\o01&fileName=10001090_o01.txt&type=2,כן,,,הוספה לנמלה
196/2010,109/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\090\001\o01&fileName=10001090_o01.txt&type=2,כן,,,הוספה לנמלה
5135/2014,8408/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\130\008\c30&fileName=14008130.C30&type=2,כן,כן,כן,העתקת  קידוד מהתיק המקורי
813/2014,8408/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\130\008\c30&fileName=14008130.C30&type=2,כן,כן,כן,העתקת  קידוד מהתיק המקורי
5136/2014,8408/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\130\008\c30&fileName=14008130.C30&type=2,כן,כן,כן,העתקת  קידוד מהתיק המקורי
8225/2014,8408/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\130\008\c30&fileName=14008130.C30&type=2,כן,כן,כן,העתקת  קידוד מהתיק המקורי
5167/2010,4994/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\940\049\o02&fileName=10049940_o02.txt&type=2,כן,,,הוספה לנמלה
5374/2016,5307/2016,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\070\053\c06&fileName=16053070_c06.txt&type=2,כן,,,הוספה לנמלה
7705/2012,4703/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\030\047\a03&fileName=12047030_a03.txt&type=2,כן,,,הוספה לנמלה
5137/2012,4703/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\030\047\a03&fileName=12047030_a03.txt&type=2,כן,,,הוספה לנמלה
7094/2010,7598/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\980\075\m08&fileName=10075980_m08.txt&type=2,כן,,,הוספה לנמלה
933/2012,8670/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\700\086\t30&fileName=11086700_t30.txt&type=2,,כן,,העתקת  קידוד מהתיק המקורי
5891/2014,4855/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\550\048\t10&fileName=14048550_t10.txt&type=2,כן,,,הוספה לנמלה
5212/2011,7703/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\030\077\c17&fileName=10077030_c17.txt&type=2,כן,,,הוספה לנמלה
8425/2013,7385/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\850\073\m19&fileName=13073850_m19.txt&type=2,כן,כן,,הוספה לנמלה
5436/2011,4215/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\150\042\b18&fileName=11042150_b18.txt&type=2,כן,,,הוספה לנמלה
6292/2011,5706/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\060\057\i12&fileName=11057060_i12.txt&type=2,כן,,,הוספה לנמלה
4693/2016,4738/2016,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\930\046\e07&fileName=16046930.E07&type=2,כן,,,הוספה לנמלה
3787/2015,3777/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\770\037\c13&fileName=15037770_c13.txt&type=2,כן,כן,,הוספה לנמלה
1308/2011,7373/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\730\073\l20&fileName=10073730_l20.txt&type=2,כן,,,הוספה לנמלה
3461/2012,3257/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\570\032\s06&fileName=12032570_s06.txt&type=2,כן,,,הוספה לנמלה
