תיק כפול,תיק מקורי,כתובת,האם תוצאת התיקים ההמוזגים זהה? (כן- זהה. לא - לא זהה),"בג""ץ?",תיקים נוספים שאוחדו ונדחו,תיקים נוספים שאוחדו והתקבלו,*/# אם מדובר בריבוי תיקים
7762/2015,1034/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\410\077\w16&fileName=15077410.W16&type=2,כן,,,,#
7741/2015,1034/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\410\077\w16&fileName=15077410.W16&type=2,כן,,,,#
8859/2014,8839/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\390\088\e30&fileName=14088390.E30&type=2,כן,,,,
1443/2016,456/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\560\004\n14&fileName=16004560.N14&type=2,כן,,,,
2565/2014,2546/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\460\025\w37&fileName=14025460_w37.txt&type=2,כן,,,,
666/2016,430/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\690\039\v17&fileName=15039690.V17&type=2,כן,,,,*
3969/2015,430/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\690\039\v17&fileName=15039690.V17&type=2,כן,,,,*
7624/2015,6391/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\910\063\t07&fileName=15063910_t07.txt&type=2,כן,כן,,,
243/2014,7891/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\910\078\z14&fileName=13078910_z14.txt&type=2,כן,,,,
4538/2014,4502/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\020\045\w19&fileName=14045020.W19&type=2,כן,,,,
4405/2012,4502/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\020\045\w19&fileName=14045020.W19&type=2,כן,,,,
4412/2012,4502/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\020\045\w19&fileName=14045020.W19&type=2,כן,,,,
8713/2011,4502/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\020\045\w19&fileName=14045020.W19&type=2,כן,,,,
4535/2014,4502/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\020\045\w19&fileName=14045020.W19&type=2,כן,,,,
1664/2015,703/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\030\007\t02&fileName=15007030_t02.txt&type=2,כן,כן,,,*
704/2015,703/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\030\007\t02&fileName=15007030_t02.txt&type=2,כן,כן,,,*
978/2015,703/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\030\007\t02&fileName=15007030_t02.txt&type=2,כן,כן,,,*
3064/2013,2903/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\030\029\c11&fileName=13029030_c11.txt&type=2,כן,,,,*
